     eta               scale                res.
    -2.2       0.9890 +/- 0.0006         1.99 +/- 0.08
    -1.8       1.0250 +/- 0.0007         1.36 +/- 0.14
    -1.2       0.9932 +/- 0.0003         0.80 +/- 0.07
    -0.8       1.0029 +/- 0.0003         0.63 +/- 0.05
    -0.2       0.9986 +/- 0.0007         0.55 +/- 0.09
     0.2       1.0027 +/- 0.0000         0.59 +/- 0.05
     0.8       1.0036 +/- 0.0002         0.62 +/- 0.03
     1.2       0.9887 +/- 0.0012         1.27 +/- 0.09
     1.8       1.0209 +/- 0.0002         1.28 +/- 0.07
     2.2       0.9812 +/- 0.0028         2.00 +/- 0.15
