run         lumi          event
163817       163      143800936
162909        78       28824670
163340       111       56325778
163759       327      229016917
163296       465      292959196
163378        97       45694534
163270       119       74417574
163659       536      391775119
161312       808      313476577
163255       339      229863176
163296       401      252859139
163301        54       28249827
163289       383      162306661
163387        62       34001698
163300       154       84281892
161312       143       59456081
162762         9        3206623
163378       205       96472962
160957       599      313135248
163761       156      102023213
163374       429      227660848
163760        31       21647575
163760        75       52645473
163738       103       84207402
166565       470      428426030
166922       542      699201064
167281       419      518376316
167041       419      462488133
165633       298      386770233
166763       375      419449701
166782       337      370060590
167898      1015     1215332003
166408       934     1167142409
166408       942     1176554292
165570       125      161940460
166565       142      132508516
167675       920      966336743
166512       205      240089703
165567       596      760710450
165993       853      951022704
167807      1742     2049470621
167830       384      386363523
167898      1136     1345276761
167913        33       34404936
167675      1054     1095298835
166514        78       66547929
166787       154      141504329
166512       959     1121856990
166486        54       20872383
165364        61       62143503
166841       179      195533200
166841       192      209893839
166923       335      363338506
166512      1300     1467163389
167675        43       46893239
166701       160      147359511
165364       498      618767815
167102        79       81674209
166512      1485     1645043560
166512      1502     1660739245
167281       496      605812226
166922         9        9473280
165617       271      380598504
166950        92      104209497
166950       287      347400745
166049       257      339757949
166950       625      737141940
166950       873     1001523348
166960       133      121188816
167898      1369     1590808080
167675       418      453525879
167740       161      159929286
167675        74       82292869
166408       202      237931009
166860        12       11819203
165415       264      302575808
166150        45       64071516
167913       191      203990764
167898      1304     1522132375
166894        82       76778460
165993       455      517360845
165993       458      520096895
165993       466      529308447
167284      1124      962877564
166895        48       42728867
166842        99       91314895
167284       624      541696808
166890       434      473714203
165467       615      787739604
165514       507      694432714
166514       239      205392890
166950       421      506355689
166033       573      799195442
166950       634      746967531
165467       468      600903619
167807        73       58612233
167898       923     1113738096
167807       314      400365861
166888       226      253234856
166512      1142     1311691054
166380       895      985507161
165993       798      894235457
166699       782      829164800
167898      1667     1898631255
166895       132      120677718
165617       125      170809558
165993       349      393450967
166380      1801     1843326789
166763       638      710168918
165364       917     1088230785
165570       259      347238184
166565       747      668648468
167674       169      208025903
166699       607      655363824
166033       254      353351253
166033       257      357868273
166864       237      251640994
165472       562      641963470
165567       277      344149732
167041       215      244659752
165993      1395     1479220797
166895       554      501909383
167103        31       28007731
167675       879      926166894
166049       571      761239215
167676        85       76921836
165993      1316     1405995430
167898      1526     1754809745
166841       310      333415730
166033      1008     1343244828
167898       527      633005548
165415       430      504761989
166864       443      439754936
166864       514      484901936
165415       128      125015175
166950       203      244070511
165415       601      705475078
165617        33       36184540
165567       221      267178084
167830       936      963414506
172033       136      174554612
172389       278      407202560
172014       133      206041652
172014        29       43604481
171178        39       40822243
170876       411      351542761
172400       239      329260910
171117        57       55914735
171117        59       58361850
172286       123      147736362
172024        39       52571024
172033       595      792929041
172163       251      375892057
171178       767      806462081
171484       310      363808899
172163       239      359382890
171050       119      119503546
171178        83       86240996
171315       159      178292551
172478        51       55683141
171812       405      528186791
171156        66       39288413
170854       564      561204793
171156       246      208138991
170826       253      309440627
170854        23       22575491
170854       301      309760951
170854       232      240230150
171156       221      173276559
171812       219      273527992
171282        40       53718747
172389       170      243593718
172400        49       67909605
172400        52       71931490
172014        36       54480168
171106       253      281811448
171178       708      746998433
172163        78      113012961
172163        38       48654577
171156       308      291877639
172208       189      254504047
171050       459      591194174
170896       114      100495544
172163       494      708476023
171106       228      253654816
171117        34       33686580
172163       172      258424419
172791       334      457950491
172791       190      236934457
172630        85      123335726
172801       934      916690089
172802       559      467644168
172791       678      923206493
172791       803     1111593245
172791       820     1137572192
172791       982     1369236792
172791       825     1144848919
172791       516      712294524
172801       782      789281458
172801       744      757185513
172799        50       53588363
