run         lumi          event
161016        19       11461518
161217       552      471076855
163300       505      265221734
163069       225      110395177
163338       129       62793365
163374       832      430752552
163402       407      266879085
163480        43       25943299
163402       669      429072068
163402       674      431966093
163655        21       15649538
163371       193      112445390
163371       194      113038130
160955       204       88601211
163233       202      110061460
163657        13        9657627
163270       576      347411718
163270       577      348181175
163340        59       29565729
163371        73       46023987
163588        93       63533633
163332       602      406845856
163337        78       41487475
163337        80       42162733
163668       172      107952937
163761       144       93856230
163371       157       90631308
163589       146      104738749
163663       145      101538057
163759       175      114883485
163759       180      117649302
163761       127       83022197
163817        73       50901593
163817        73       50807753
163817       287      269530187
161223       249      172013379
161311       146       74172396
163233        81       44537105
163233        95       52293944
163289        13        5624032
163289       322      136974581
163332       585      396531599
163300        54       29186334
163759       349      245989996
163765       242      147899519
163475       213      150091935
163589        11        6346644
163758       276      204862097
163378       445      205765608
163378       452      208896092
163759       456      324634421
161312         2         423054
163378       106       50169543
163659       514      376767904
163369        53       36741265
163233       154       84555721
163233       176       96438505
163296       352      221987515
163340       227      114685048
163378       227      106825887
163378       235      110714182
163763        65       40621175
163758       267      198543062
163760       256      176928851
163760       258      178495193
161217       352      310840206
161311        47       24090672
161311       309      152437662
163071        16        8113467
163255        85       59767829
163255       591      386429962
163255       592      386991348
161312       209       87011311
163340       197       99407823
163760       236      163432917
163332       577      391510638
163332       577      391294692
163334       254      148356433
163338       137       66699090
163370        96       64612306
163371       294      172685815
163371       296      174076743
163255       527      347385305
163758        72       53199114
163371       102       64378666
163371       106       66917522
163738        50       37997489
163387       198      108386803
163761       101       65958056
163583       121       93762303
163583       121       94000447
163765       104       63576700
163586        37       26555990
161311       253      125814648
163296       445      280248926
163296       452      284949485
163817       253      235818397
163402       631      406316402
163480       111       65948297
163659       253      194449217
163659       640      462461106
163760         4        1907062
160998        46       30994575
161312       543      218431460
163289       210       90246395
163817       155      135447028
163760       262      181369790
163817       231      214355399
163334        18       10557568
163334        21       12297206
163370        74       49404321
163374       105       57661876
163588        72       48663803
163596        23       15319108
163659       219      168513630
163796        76       73946792
163796        32       30621570
163659       109       85102650
161222        87       62660815
162909       254      150111603
163402       688      440115332
163659       464      345084657
163659       464      345280367
163302       163       82181207
163817       271      253743304
163369         3        1280458
163369         8        4052465
163378       591      270420933
163476        18       11861545
163758        89       66512695
163765         7        3432368
163817       305      287447570
163589       107       75036547
163589       112       78815788
163662        78       59254459
163659       276      211111098
163759        83       54447553
163378       386      179353851
160957       205      108458570
161311       381      186128903
163869       102       88700128
163765        27       16523387
162822       275      109626064
163069       246      123927579
163337       156       82756558
163270       165      103794117
163588       380      256442677
163659       346      262601480
163659        20       15316100
163659        21       15417498
163659        24       18460243
160939        56       28643497
161310        42       20635126
161310        45       22764381
161311       562      265269743
163300       585      304497659
163402       579      374954586
163659       188      145267347
163046        45       27146378
163300       225      122096671
163300       460      243124292
163302        61       30458499
163340       241      121386298
163340       469      233200865
163817       328      310570402
163817       442      421202493
163817       635      592311810
163657       132      108826262
163402       121       75396036
161312       279      116102323
163255       676      437638973
163339        17        8163836
163339        22       10902057
163374       239      129563538
163374       240      130018798
163738        58       45610223
163583        67       51646338
163296       149       87350773
163337       284      149266348
163402       102       61565148
163270       864      504390414
163270       864      504421745
163817       935      852070162
163817       940      856505619
163300       474      250040874
163376        43       20356901
163376        43       20502196
163376        56       26925906
163659        62       48430447
163659        64       50086211
163659        66       51178456
163765       210      128353188
163662        63       47914175
163795        34       31091057
163738       293      239059845
163589        89       61583872
163589        90       62385891
163758       465      330028861
163758       465      329922904
163758       465      329838705
163332       279      185000461
163334       331      191710361
163817       444      423365291
163817       103       80907914
163588       281      191258719
163659       301      229750985
163758       294      218414320
163758       299      221834588
163659        32       24315166
163385        93       46575570
163585        14        9939494
163758       577      406493307
163817       242      224192906
163817       243      225649692
163817       244      226278450
163374       351      187975807
163659       366      276700500
161217       525      449922559
163289       186       80167444
163796       113      109498050
163069       523      289494471
163340       146       74168106
163296       175      105683910
163296       177      107086159
163296       184      111658302
163332       295      196777847
160957       739      383591324
163235        65       33507579
163270       603      362759871
163302       173       87175700
163758       378      269355966
163760       117       82375149
163760       130       91270297
162822       170       60104010
163289       230       98730574
163663       217      150552245
163662       124       93812680
163662       127       96068959
163664       104       69673928
163765       230      140423488
163664        90       59566543
163385       275      159836039
163385       279      162607640
163387       155       85141330
163255        20       13646411
163402       722      460061127
163069       252      127383757
163765       117       71429492
163332        71       33071392
163657         6        3354131
163758       537      379419944
163759       197      130012708
163402       141       89271202
163402       442      289168619
161233        40       21641106
163300       563      293607288
163297       214      123430080
163337       234      123532279
163337       240      126381665
163301       137       71667723
163337       334      174842783
163340       387      193275491
163370        67       44906604
163583       142      110640517
160956        14        6860416
161311       457      219735827
161311       487      232789580
163255       586      383596101
163255       589      385535589
161119       169      114661355
161223       197      136365752
163046       141       84426412
163261        17        8648540
161222        49       35300408
163237        70       32198409
163237        74       33729640
163402       328      215750297
163402       623      401498723
163662        58       43510109
163758       192      144438497
163758       464      329461428
163796       137      132595236
161311       175       88286437
161311       408      198068924
162909       138       70767686
163300       217      117726860
161008        20       11877637
163402       290      190502576
163402       291      191552133
163589        92       63995652
163589        98       68576543
161217       170      155625139
163302        86       43220716
163340       441      219535629
163340       447      222567701
163369        22       14511160
163370        36       24064197
163385       164       91697179
163402       304      200066126
163588       139       95349638
163659        97       75628920
160957       183       96718982
163659       436      325538768
163757         8        5157431
162811        71       32698410
163069       442      242685877
163069       443      242882147
163252       103       55540711
163387         5        2354431
163479       141       89842042
163659       185      143472696
163659       697      498766975
163663       126       87847106
163387         9        4582432
163585         3        1197296
163585         4        2189018
163585         6        3884608
163296       100       53135905
163758       131       98668120
163475        80       49454276
163758        66       48890261
163817       358      339903406
163071        51       27842015
163255       625      406760859
163296       535      335869492
163738        68       53678973
161119        47       35470413
163374       681      352281140
163376       207      101874703
163235       244      125009428
163296       498      313089097
163296       574      359213311
163337        88       46870329
163337       250      132012127
163337       319      167183554
163337       409      212392343
163795        30       27154527
163046        54       32643730
163046        56       33442513
163232       129       28682482
163371        21       13093949
163374       741      383766912
163402       502      327286398
163069       584      324525007
163817       134      113946929
163738        79       63114537
163475       230      162971499
163255       232      159796983
163869        95       79911070
163869        96       81996813
163261        58       31105385
161312       334      138201110
163817       713      662409416
163817       714      663941025
163738       110       90221615
163738       128      104860133
161311       613      287047451
163270       240      150695237
163046        26       15525850
163300       200      108604118
161223         5        2877100
163255       536      352944652
163270        74       48296065
163286       185       64481335
163586        49       35635090
163586        51       36937962
163659       295      225346929
163660        52       33558474
163286       257      100121377
163338        12        5271329
162811       325      146139965
163270       335      209081417
163300        35       18941701
163338        87       42297081
163338        87       42019900
163302       156       78554811
163374       614      319391615
163376        93       45641186
163663       202      141335482
163668       135       84670506
163761         6        3203978
163587        15        9745305
163817       240      221856623
162828        10        3476958
163332       624      420976346
163758         3        1291068
163588       433      290521040
163758       329      243290966
163758       420      298902507
161217       664      556869731
161217       738      611756750
163270       719      426211253
163795        16       13508541
163583        38       28826301
163759        34       21667598
163761        10        5702834
163761        23       14485329
163761       154      100718211
163659       653      469790066
163289        84       35615498
163333        98       60038891
163333       101       61484682
163817       171      152724974
163046        83       50119753
163296       164       98411782
163385       120       63921852
163476       151      104362479
163817       663      617365643
163371        86       54343634
163659        53       41145072
163659        55       42349503
163659        57       43881923
163334       337      195131671
163402        67       36637218
163589        32       19691885
163662        24       17533890
163475       238      168475251
163588        11        5770225
163588       256      174719483
163738       298      243494047
163333        24       14168483
163796       126      121360488
163300       290      156006535
163588       113       76965666
163817       411      391482411
163817       344      326444970
163817       344      326832203
163387       250      135756253
163759        12        7327944
163759        13        7845015
